ts,host,user,event,attempts,severity,ip,file,proc,dst,message,geo,notes,source,hour,day_of_week,month,is_weekend,is_off_hours,message_length,has_ip,has_error,has_attempts,is_suspicious,is_high_risk
2026-05-27T18:23:34Z,COMP-69,leigh_dutt,4648,0.0,LOW,111.192.167.79,,tomcat9.exe,,4648: leigh_dutt performed settlement operation,"London, GB",COMPLIANCE_BASELINE_DIST,windows_security,18,2,5,0,0,47,0,0,0,0,0
2027-02-18T23:09:05Z,PROXY-99,trading_user,1,0.0,CRITICAL,1.43.254.219,,lsass.exe,crm.green-thomas.info:27017,Process creation: lsass.exe with command line: netstat -tulpn | grep LISTEN,,SEC_HIGH_RISK_URGENT_LABO,sysmon,23,3,2,0,1,75,0,0,0,1,1
2026-12-08T20:33:08Z,WEB-44.core.banking,pooja_little,CreateAccessKey,0.0,CRITICAL,,,python.exe,core-bank.gilbert-john.com:9200,CreateAccessKey: pooja_little performed reconciliation operation,,THREAT_HIGH_RISK_URGENT_DOLO,aws_cloudtrail,20,1,12,0,1,64,0,0,0,1,1
,DC-23.bank.internal,compliance,shell_in_container,0.0,LOW,140.108.5.211,,cmd.exe,,shell_in_container: compliance performed balance operation,Zurich,GT_BASELINE_SOLU,falco,0,0,0,0,1,58,0,0,0,0,0
2026-07-29T07:40:42Z,COMP-50-dr,bdillon,302015,0.0,MEDIUM,192.168.92.128,C:\Users\scott_williams\Documents\magnam.mp3,powershell.exe,,302015: bdillon performed transfer operation,Mumbai,AUDIT_BASELINE_ALIQ,cisco_asa,7,2,7,0,1,44,0,0,0,0,0
2026-08-14T04:12:39Z,OPS-38-sandbox,svc_audit_prod94,URL,0.0,LOW,10.108.67.131,/etc/illo/national.conf,tomcat9.exe,RISK-39-uat.financial.local:3389,URL: svc_audit_prod94 performed transaction operation,,AUDIT_BASELINE_CONS,palo_alto,4,4,8,0,1,53,0,0,0,0,0
2026-11-14T07:57:34Z,HR-19,svc_reporting_prod,ConsoleLogin,0.0,LOW,,,explorer.exe,,ConsoleLogin: svc_reporting_prod performed payment operation,,AUDIT_BASELINE_ISTE,aws_cloudtrail,7,5,11,1,1,60,0,0,0,0,0
18/3/2020,ATM-07-uat.bank.internal,svc_deploy_prod,4672,0.0,MEDIUM,192.168.84.113,Z:\Finance\2026-03-20\optio.mp3,svchost.exe,PAY-61.bank.internal:27017,4672: svc_deploy_prod performed reconciliation operation,Singapore,COMPLIANCE_BASELINE_CORR,windows_security,0,0,0,0,1,56,0,0,0,0,0
2027-01-08T19:35:23Z,CORE_BANK-22,mdiaz,SYSCALL,0.0,MEDIUM,112.140.88.99,,EXCEL.EXE,,SYSCALL: mdiaz performed reconciliation operation,Paris,GT_BASELINE_WITH,auditd,19,4,1,0,1,49,0,0,0,0,0
2026-12-09T11:12:19Z,GW-24.secure.bank,chatura.mason,SYSCALL,0.0,HIGH,192.168.184.128,,sshd_v1.8,,SYSCALL: chatura.mason performed audit operation,Paris,AUDIT_SUSPICIOUS_URGENT_DOLO,auditd,11,2,12,0,0,48,0,0,0,1,1
2027-02-22T08:11:13Z,GW-09-uat,rsmith41,write_binary_dir,0.0,HIGH,35.237.79.52,C:\Windows\Temp\repudiandae.css,sqlservr.exe_v10.7,,write_binary_dir: rsmith41 performed transfer operation,Frankfurt,GT_SUSPICIOUS_URGENT_FUGA,falco,8,0,2,0,0,55,0,0,0,1,1
2026-06-26T04:36:48Z,COMP-38,anusha.konda,Blocked,0.0,HIGH,10.153.132.25,C:\Users\svc_monitor_prod\Documents\sound.mp4,lsass.exe,PROXY-38:3306,Blocked: anusha.konda performed reconciliation operation,Frankfurt,THREAT_SUSPICIOUS_URGENT_LABO,sentinel_one,4,4,6,0,1,56,0,0,0,1,1
2026-09-17T14:51:49Z,HR-56-uat.core.banking,sysadmin,ssl,0.0,LOW,158.250.251.15,C:\Windows\Temp\facilis.key,kubelet,core-bank.iyengar-tandon.com:8443,ssl: sysadmin performed audit operation,,SEC_BASELINE_MAGN,zeek,14,3,9,0,0,39,0,0,0,0,0
2026-06-25T06:33:27Z,FINANCE-51,ricky.robinson,Prevention,0.0,LOW,10.199.186.102,,java.exe,,Prevention: ricky.robinson performed swift operation,GB,THREAT_BASELINE_EXPE,crowdstrike,6,3,6,0,1,52,0,0,0,0,0
2027-01-16T13:30:44Z,APP-74-prod.financial.local,luke_hernandez,EXECVE,0.0,LOW,192.168.74.75,Z:\Finance\2026-03-07\recusandae.mov,prometheus,,EXECVE: luke_hernandez performed payment operation,Singapore,AUDIT_BASELINE_NATU,auditd,13,5,1,1,0,50,0,0,0,0,0
2026-06-05T21:57:30Z,,jamie_sandoval,workflow_run,0.0,HIGH,217.199.127.124,,python.exe,ledger.potts.com:8443,workflow_run: jamie_sandoval performed balance operation,,THREAT_SUSPICIOUS_URGENT_NATU,github_actions,21,4,6,0,1,56,0,0,0,1,1
2027-02-22T01:56:01Z,ATM-72-sandbox,ariana.hughes21,MailItemsAccessed,0.0,UNKNOWN,83.203.177.85,,lsass.exe,OPS-05-dr:5432,MailItemsAccessed: ariana.hughes21 performed swift operation,"Dubai, AE",ANOMALY_BASELINE_UNDE,office365,1,0,2,0,1,60,0,0,0,0,0
2026-08-20T16:02:26Z,WKS-88-prod,benjamin_lamb,ssl,0.0,HIGH,131.0.247.102,C:\Users\vtak\Documents\other.jpeg,explorer.exe,,ssl: benjamin_lamb performed transfer operation,Tokyo,ANOMALY_SUSPICIOUS_URGENT_QUAM,zeek,16,3,8,0,0,47,0,0,0,1,1
2026-09-07T20:00:58Z,SWIFT-35.secure.bank,treasury,ApplicationManagement,0.0,HIGH,,,docker_v9.7,HR-04.bank.internal:27017,ApplicationManagement: treasury performed settlement operation,,ANOMALY_SUSPICIOUS_URGENT_VERO,azure_ad,20,0,9,0,1,62,0,0,0,1,1
2026-09-03T19:05:58Z,RISK-25,mdixon,Threat,0.0,HIGH,172.26.74.132,,sshd,,Threat: mdixon performed swift operation,"Mumbai, IN",COMPLIANCE_SUSPICIOUS_URGENT_ASPE,sentinel_one,19,3,9,0,1,40,0,0,0,1,1
2026-10-22T21:00:09Z,FS-16,uviswanathan,4672,0.0,LOW,192.168.70.39,,sqlservr.exe,,4672: uviswanathan performed transfer operation,"Dubai, AE",AUDIT_BASELINE_IMPE,windows_security,21,3,10,0,1,47,0,0,0,0,0
2026-04-04T13:17:38Z,GW-76.financial.local,settlement,13,0.0,LOW,83.185.43.241,C:\Windows\Temp\current.avi,nginx.exe,payment-api.adams-sanchez.com:3389,13: settlement performed swift operation,,AUDIT_BASELINE_ASSU,sysmon,13,5,4,1,0,40,0,0,0,0,0
2027-02-01T18:25:59Z,COMP-06-prod.secure.bank,agreen98,workflow_run,0.0,LOW,27.28.139.49,,lsass.exe,,workflow_run: agreen98 performed swift operation,Mumbai,GT_BASELINE_PAST,github_actions,18,0,2,0,0,48,0,0,0,0,0
2027-01-07T02:13:32Z,PROXY-89,ekalinga_benjamin,Threat,0.0,MEDIUM,6.0.183.174,/var/log/assumenda/eum.gif.log,OUTLOOK.EXE,,,,AUDIT_BASELINE_EXPE,sentinel_one,2,3,1,0,1,0,0,0,0,0,0
2026-04-04T18:04:27Z,ATM-79,handerson47,SQL_Injection,0.0,CRITICAL,192.168.83.73,,java.exe,,SQL_Injection: handerson47 performed payment operation,CH,SEC_HIGH_RISK_URGENT_AB,cloud_waf,18,5,4,1,0,54,0,0,0,1,1
2026-09-30T04:02:05Z,CORE_BANK-34,lila_goodwin,workflow_run,0.0,LOW,192.168.182.79,,tomcat9.exe,,workflow_run: lila_goodwin performed swift operation,"Dubai, AE",SEC_BASELINE_SOME,github_actions,4,2,9,0,1,52,0,0,0,0,0
2026-04-20T10:01:45Z,PAY-53,svc_monitor,CreateAccessKey,0.0,LOW,20.134.154.227,,java.exe,OPS-88.core.banking:8080,CreateAccessKey: svc_monitor performed swift operation,,AUDIT_BASELINE_AT,aws_cloudtrail,10,0,4,0,0,54,0,0,0,0,0
2026-03-20T09:46:46Z,FS-01-sandbox.bank.internal,harriet_guerrero,Prevention,0.0,CRITICAL,133.226.180.93,,systemd,CORE_BANK-33-dev.secure.bank:3306,Prevention: harriet_guerrero performed audit operation,,SEC_HIGH_RISK_URGENT_MAGN,crowdstrike,9,4,3,0,0,54,0,0,0,1,1
2026-03-06T01:35:58Z,APP-57,svc_cicd_prod,THREAT,0.0,LOW,192.168.184.137,,java.exe,,THREAT: svc_cicd_prod performed balance operation,"Sydney, AU",COMPLIANCE_BASELINE_TEMP,palo_alto,1,4,3,0,1,49,0,0,0,0,0
2026-10-21T12:43:38Z,DC-06,cthompson,ApplicationManagement,0.0,LOW,57.188.255.24,\\fileserver\share\Improve\phone.json,EXCEL.EXE,WEB-11-prod.secure.bank:9200,ApplicationManagement: cthompson performed swift operation,Sydney,AUDIT_BASELINE_ACCU,azure_ad,12,2,10,0,0,58,0,0,0,0,0
,HR-76-uat,treasury,FileDownloaded,0.0,LOW,106.33.87.99,\\fileserver\share\Stand\professor.ods,powershell.exe,,FileDownloaded: treasury performed reconciliation operation,CA,ANOMALY_BASELINE_QUAL,sharepoint,0,0,0,0,1,59,0,0,0,0,0
2026-12-17T14:00:20Z,PAY-95.bank.internal,zaitra.whitaker,106023,0.0,HIGH,192.168.82.162,/etc/radio/detail.conf,WINWORD.EXE,,106023: zaitra.whitaker performed audit operation,Mumbai,THREAT_SUSPICIOUS_URGENT_CULP,cisco_asa,14,3,12,0,0,49,0,0,0,1,1
2026-10-27T12:17:54Z,COMP-54.secure.bank,cjones13,write_binary_dir,0.0,LOW,192.168.86.2,/opt/banking/ready/bin/watch.avi,WINWORD.EXE,crm.gentry.com:22,write_binary_dir: cjones13 performed balance operation,AE,ANOMALY_BASELINE_NUMQ,falco,12,1,10,0,0,54,0,0,0,0,0
2026-07-10T08:09:55Z,CRM-99.financial.local,svc_scanner_prod,URL,0.0,MEDIUM,192.168.43.102,,chrome.exe_v2.4,,URL: svc_scanner_prod performed balance operation,Mumbai,GT_BASELINE_UT,palo_alto,8,4,7,0,0,49,0,0,0,0,0
2026-12-10T21:58:36Z,APP-58,robert.mody,4688,0.0,LOW,172.22.37.147,,tomcat9.exe_v2.3,,"A new process was created. Process: tomcat9.exe_v2.3, Command line: curl -X GET https://mejia-martin.com/api/health",Mumbai,SEC_BASELINE_ART,windows_security,21,3,12,0,1,115,0,0,0,0,0
invalid-timestamp,COMP-61.financial.local,svc_monitor_prod,22,0.0,MEDIUM,10.122.204.160,,sqlservr.exe_v2.6,,22: svc_monitor_prod performed clearing operation,AU,AUDIT_BASELINE_TRAV,sysmon,0,0,0,0,1,49,0,0,0,0,0
2026-10-06T17:41:52Z,HR-96.secure.bank,svc_cicd_prod,302015,0.0,LOW,121.77.194.186,C:\Users\treasury\Documents\earum.txt,kubelet,,302015: svc_cicd_prod performed payment operation,,THREAT_BASELINE_MAIO,cisco_asa,17,1,10,0,0,49,0,0,0,0,0
2026-05-28T06:44:40Z,RISK-51.core.banking,fdeshpande,Path_Traversal,0.0,MEDIUM,221.124.196.225,,OUTLOOK.EXE_v10.5,,Path_Traversal: fdeshpande performed settlement operation,Zurich,THREAT_BASELINE_IUST,cloud_waf,6,3,5,0,1,57,0,0,0,0,0
2026-05-15T13:10:26Z,COMP-92.secure.bank,maria_jackson,Audit,0.0,CRITICAL,192.168.65.178,C:\Windows\System32\impedit.png,OUTLOOK.EXE_v9.9,CORE_BANK-70-prod.secure.bank:3306,Audit log: read performed by maria_jackson,"New York, US",ANOMALY_HIGH_RISK_URGENT_NISI,azure_ad,13,4,5,0,0,42,0,0,0,1,1
2027-01-14T13:12:07Z,RISK-83.financial.local,nbarrett,Quarantine,0.0,HIGH,96.137.136.16,,EXCEL.EXE_v8.3,,Quarantine: nbarrett performed settlement operation,"Sydney, AU",AUDIT_SUSPICIOUS_URGENT_MATT,crowdstrike,13,3,1,0,0,51,0,0,0,1,1
2026-07-26T04:58:50Z,OPS-33,lisa.dugar,write_binary_dir,0.0,MEDIUM,172.29.164.23,,prometheus,DB-75:80,write_binary_dir: lisa.dugar performed audit operation,DE,THREAT_BASELINE_INCI,falco,4,6,7,1,1,54,0,0,0,0,0
2026-12-10T09:03:50Z,WKS-79-sandbox,daniel_sanders,302015,0.0,MEDIUM,221.43.60.135,/etc/expedita/paper.conf,chrome.exe,CORE-17-uat.core.banking:9200,302015: daniel_sanders performed audit operation,Sydney,ANOMALY_BASELINE_WEEK,cisco_asa,9,3,12,0,0,48,0,0,0,0,0
2027-01-27T03:44:28Z,CORE-33-prod,hmutti,CreateUser,0.0,MEDIUM,172.31.4.157,,WINWORD.EXE,,CreateUser: hmutti performed transfer operation,Hong Kong,AUDIT_BASELINE_QUOD,aws_cloudtrail,3,2,1,0,1,47,0,0,0,0,0
2026-12-04T16:01:29Z,DB-32-dr,tanya.om,XSS,0.0,LOW,214.247.46.193,C:\Windows\System32\raise.mp3,tomcat9.exe,,XSS: tanya.om performed settlement operation,"Toronto, CA",SEC_BASELINE_VOLU,cloud_waf,16,4,12,0,0,44,0,0,0,0,0
2027-01-12T10:05:24Z,SWIFT-99,toby.adams,FileDeleted,0.0,MEDIUM,192.168.102.32,,cmd.exe_v5.1,,FileDeleted: toby.adams performed reconciliation operation,,ANOMALY_BASELINE_QUIT,sharepoint,10,1,1,0,0,58,0,0,0,0,0
2026-11-17T16:32:42Z,MON-15,lynn.gill,Prevention,0.0,LOW,10.32.37.134,,WINWORD.EXE,,Prevention: lynn.gill performed reconciliation operation,,GT_BASELINE_SAEP,crowdstrike,16,1,11,0,0,56,0,0,0,0,0
2026-09-22T03:08:21Z,SWIFT-25-dev,svc_etl_prod,CreateAccessKey,0.0,LOW,10.3.65.84,,tomcat9.exe,WEB-95:3389,CreateAccessKey: svc_etl_prod performed transaction operation,,GT_BASELINE_SINT,aws_cloudtrail,3,1,9,0,1,61,0,0,0,0,0
,FINANCE-70.bank.internal,jsalazar,10,0.0,MEDIUM,214.176.30.180,C:\Users\ijaya.rana\Documents\region.js,sqlservr.exe,,Process accessed: sqlservr.exe accessed kubelet,US,THREAT_BASELINE_AT,sysmon,0,0,0,0,1,47,0,0,0,0,0
2026-11-12T19:06:20Z,CORE_BANK-33,svc_cicd_prod30,Threat,0.0,LOW,172.16.253.188,,nginx.exe,CORE_BANK-04.secure.bank:8443,Threat: svc_cicd_prod30 performed payment operation,,THREAT_BASELINE_QUIS,sentinel_one,19,3,11,0,1,51,0,0,0,0,0
2026-06-10T18:18:58Z,PAY-58.bank.internal,yamini.bond,CreateAccessKey,0.0,LOW,10.213.66.21,,python.exe,,CreateAccessKey: yamini.bond performed clearing operation,"Singapore, SG",SEC_BASELINE_VOLU,aws_cloudtrail,18,2,6,0,0,57,0,0,0,0,0
2026-04-25T23:06:04Z,DB-99-prod.core.banking,jeffrey.cardenas51,12,0.0,HIGH,219.72.253.134,,kubelet_v1.7,PAY-83:22,12: jeffrey.cardenas51 performed transaction operation,Mumbai,GT_SUSPICIOUS_URGENT_ERRO,sysmon,23,5,4,1,1,54,0,0,0,1,1
2026-07-19T16:37:09Z,CORE-83.secure.bank,twhite,22,0.0,MEDIUM,172.30.43.203,C:\Windows\System32\sapiente.tiff,tomcat9.exe_v2.0,,22: twhite performed swift operation,,AUDIT_BASELINE_DIGN,sysmon,16,6,7,1,0,36,0,0,0,0,0
2026-06-13T13:05:35Z,PAYMENT-88,michele_sawhney,4648,0.0,LOW,202.231.153.13,Z:\Finance\2026-03-19\sure.js,java.exe,,4648: michele_sawhney performed payment operation,,COMPLIANCE_BASELINE_SERV,windows_security,13,5,6,1,0,49,0,0,0,0,0
2026-10-28T03:27:17Z,FS-34,wendy_berry,11,0.0,MEDIUM,192.168.241.141,/var/log/velit/common.pptx.log,sshd,,11: wendy_berry performed clearing operation,Hong Kong,THREAT_BASELINE_QUAM,sysmon,3,2,10,0,1,44,0,0,0,0,0
2026-12-04T09:41:12Z,ATM-59.core.banking,svc_secrets,4698,0.0,HIGH,10.125.172.65,/var/log/minima/nam.gif.log,kubelet,FS-16-prod:3389,4698: svc_secrets performed reconciliation operation,"Singapore, SG",SEC_SUSPICIOUS_URGENT_ILLO,windows_security,9,4,12,0,0,52,0,0,0,1,1
2026-12-30T10:27:22Z,WKS-67,charan_vazquez,THREAT,0.0,UNKNOWN,172.18.188.61,C:\Windows\Temp\cupiditate.gif,explorer.exe,,THREAT: charan_vazquez performed clearing operation,Paris,COMPLIANCE_BASELINE_NISI,palo_alto,10,2,12,0,0,51,0,0,0,0,0
2026-05-25T20:12:40Z,TRADING-51,,TRAFFIC,0.0,HIGH,37.206.15.94,,sshd,MON-89.bank.internal:3389,TRAFFIC: edward.cochran performed settlement operation,,GT_SUSPICIOUS_URGENT_COUL,palo_alto,20,0,5,0,1,54,0,0,0,1,1
2026-10-06T22:07:29Z,DC-28,amorgan62,3,0.0,MEDIUM,192.168.244.226,,java.exe_v6.4,COMP-85-sandbox:3306,Network connection: java.exe_v6.4 connected to COMP-85-sandbox:3306,,AUDIT_BASELINE_TENE,sysmon,22,1,10,0,1,67,0,0,0,0,0
2026-06-27T18:22:58Z,CORE_BANK-35-prod,tshannon,MailItemsAccessed,0.0,MEDIUM,52.115.122.149,/etc/maxime/voluptas.conf,docker_v7.9,,MailItemsAccessed: tshannon performed payment operation,Hong Kong,COMPLIANCE_BASELINE_OFFI,office365,18,5,6,1,0,55,0,0,0,0,0
2026-03-07T04:04:08Z,WKS-84.bank.internal,ganne,SYSCALL,0.0,UNKNOWN,76.38.130.238,/opt/banking/break/bin/nam.docx,prometheus,,SYSCALL: ganne performed transaction operation,,AUDIT_BASELINE_VEL,auditd,4,5,3,1,1,46,0,0,0,0,0
2026-11-20T01:07:11Z,ATM-86,ewright,Prevention,0.0,LOW,38.61.6.64,,lsass.exe,,Prevention: ewright performed audit operation,"Hong Kong, HK",COMPLIANCE_BASELINE_TEMP,crowdstrike,1,4,11,0,1,45,0,0,0,0,0
2026-08-30T13:54:22Z,ATM-30-dev,svc_deploy_prod27,Quarantine,0.0,LOW,36.102.2.46,,chrome.exe,,Quarantine: svc_deploy_prod27 performed settlement operation,"Frankfurt, DE",SEC_BASELINE_CONS,crowdstrike,13,6,8,1,0,60,0,0,0,0,0
2027-02-02T02:07:58Z,OPS-99,eboase,SYSCALL,0.0,LOW,172.24.114.31,,cmd.exe,,SYSCALL: eboase performed swift operation,CH,GT_BASELINE_NUMQ,auditd,2,1,2,0,1,41,0,0,0,0,0
2026-03-29T15:59:55Z,CORE-55,alewis,Quarantine,0.0,LOW,72.101.128.143,,tomcat9.exe_v3.4,,Quarantine: alewis performed payment operation,,ANOMALY_BASELINE_IMPE,crowdstrike,15,6,3,1,0,46,0,0,0,0,0
2026-10-06T02:55:17Z,MON-37-dr,bhammond,11,0.0,LOW,172.17.77.181,,svchost.exe,,,"Paris, FR",SEC_BASELINE_RERU,sysmon,2,1,10,0,1,0,0,0,0,0,0
2026-08-21T16:22:01Z,CORE_BANK-94.financial.local,internal_audit,Detection,0.0,LOW,10.17.240.236,C:\Windows\System32\east.ppt,cmd.exe,PAY-23.core.banking:5432,Detection: internal_audit performed transaction operation,,GT_BASELINE_NON,crowdstrike,16,4,8,0,0,57,0,0,0,0,0
2026-11-10T23:56:02Z,ATM-88,sshroff77,Blocked,0.0,CRITICAL,16.156.184.163,,EXCEL.EXE_v5.4,DC-78.bank.internal:5432,Blocked: sshroff77 performed payment operation,Mumbai,COMPLIANCE_HIGH_RISK_URGENT_REIC,sentinel_one,23,1,11,0,1,46,0,0,0,1,1
2026-07-14T10:16:29Z,SWIFT-99-dev,shannon_jones,SYSCALL,0.0,LOW,68.29.138.210,C:\Windows\Temp\vitae.docx,sqlservr.exe,APP-90.core.banking:8080,SYSCALL: shannon_jones performed transaction operation,Zurich,GT_BASELINE_VARI,auditd,10,1,7,0,0,54,0,0,0,0,0
2026-12-22T01:37:54Z,WEB-89,svc_etl,CreateAccessKey,0.0,LOW,172.27.134.185,Z:\Finance\2026-02-03\id.css,OUTLOOK.EXE,,CreateAccessKey: svc_etl performed payment operation,"Hong Kong, HK",AUDIT_BASELINE_HIC,aws_cloudtrail,1,1,12,0,1,52,0,0,0,0,0
2027-01-21T14:12:21Z,CORE_BANK-46,,Detection,0.0,LOW,192.168.49.13,C:\Users\nachiket.oza\Documents\ex.odp,chrome.exe,,Detection: mjohnson performed transaction operation,,ANOMALY_BASELINE_SENS,crowdstrike,14,3,1,0,0,51,0,0,0,0,0
2026-03-19T00:03:40Z,OPS-20-sandbox,leigh.walia,Prevention,0.0,LOW,39.146.150.249,C:\Users\ntaylor\Documents\early.wav,tomcat9.exe_v4.3,COMP-18:1433,Prevention: leigh.walia performed swift operation,,COMPLIANCE_BASELINE_INCI,crowdstrike,0,3,3,0,1,49,0,0,0,0,0
2026-04-15T01:43:32Z,WKS-39.financial.local,ana.parkes,7,0.0,MEDIUM,23.150.68.141,C:\Windows\System32\itaque.gif,powershell.exe_v8.7,,7: ana.parkes performed audit operation,,ANOMALY_BASELINE_REPR,sysmon,1,2,4,0,1,39,0,0,0,0,0
2026-08-13T11:57:13Z,SWIFT-62,svc_replication,PATH,0.0,LOW,161.59.114.14,,python.exe,FS-71.bank.internal:27017,PATH: svc_replication performed reconciliation operation,,GT_BASELINE_EAQU,auditd,11,3,8,0,0,56,0,0,0,0,0
2026-07-14T20:00:34Z,FINANCE-23,svc_cicd,4698,0.0,LOW,172.20.93.100,,sqlservr.exe,,4698: svc_cicd performed reconciliation operation,Hong Kong,COMPLIANCE_BASELINE_MATT,windows_security,20,1,7,0,1,49,0,0,0,0,0
2026-12-18T18:31:36Z,CORE-77-dev,svc_monitor_prod24,Quarantine,0.0,HIGH,134.165.205.34,,java.exe,swift-gateway.dickinson.com:27017,Quarantine: svc_monitor_prod24 performed settlement operation,CA,SEC_SUSPICIOUS_URGENT_AUTE,crowdstrike,18,4,12,0,0,61,0,0,0,1,1
2026-04-28T12:42:36Z,OPS-81.financial.local,svc_deploy,Quarantine,0.0,MEDIUM,192.168.135.1,,powershell.exe_v1.9,PROXY-33:80,Quarantine: svc_deploy performed payment operation,,SEC_BASELINE_TREE,crowdstrike,12,1,4,0,0,50,0,0,0,0,0
2027-01-09T12:31:50Z,DB-23-dev,internal_audit,PATH,0.0,LOW,65.1.13.213,C:\Users\svc_audit_prod45\Documents\aliquid.png,prometheus,core-bank.rastogi-badami.org:1433,PATH: internal_audit performed swift operation,,ANOMALY_BASELINE_FAST,auditd,12,5,1,1,0,46,0,0,0,0,0
2026-04-18T08:14:02Z,BRANCH-45.core.banking,jkoshy,4698,0.0,HIGH,172.21.140.54,,sshd,,4698: jkoshy performed clearing operation,JP,GT_SUSPICIOUS_URGENT_GOAL,windows_security,8,5,4,1,0,41,0,0,0,1,1
2026-07-15T05:41:17Z,CORE-48.financial.local,svc_deploy,Suspicious,0.0,LOW,70.9.225.190,C:\Users\victor.campbell\Documents\quasi.css,powershell.exe,,Suspicious: svc_deploy performed transfer operation,"Singapore, SG",THREAT_BASELINE_QUAS,sentinel_one,5,2,7,0,1,51,0,0,0,0,0
2026-05-20T02:47:48Z,CRM-78.core.banking,root,13,0.0,CRITICAL,172.21.196.165,,cmd.exe_v8.8,GW-68-dev.bank.internal:27017,13: root performed settlement operation,Toronto,ANOMALY_HIGH_RISK_URGENT_GAS,sysmon,2,2,5,0,1,39,0,0,0,1,1
2026-08-16T19:56:08Z,DB-20-uat.secure.bank,settlement,dns,0.0,HIGH,10.218.109.27,,tomcat9.exe_v2.5,,dns: settlement performed transfer operation,"New York, US",THREAT_SUSPICIOUS_URGENT_DEMO,zeek,19,6,8,1,1,44,0,0,0,1,1
